repo,ecosystem_manager,action,status,detail
AutoViz,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
Auto_ViML,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
BayesPy,none,uv init + import-scan,fixed,"pyproject.toml + uv.lock generated from imports scanned across .py files (numpy, pandas, scipy, Cython), pushed to fcas/BayesPy"
BioPy,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
ColossalAI,none,none-needed,ok,no Python dependency manifest found in repo root
CompreFace,n/a,excluded-non-python,n/a,"Java face-recognition service; python component is an internal microservice only, not scanned"
CoreNLP,n/a,excluded-non-python,n/a,"Java NLP toolkit; python usage lives in separate wrapper packages, not scanned"
DI-engine,none,none-needed,ok,no Python dependency manifest found in repo root
DIGITS,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
DeepPavlov,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
DrQA,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
FEDOT,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
GreatCircle,n/a,excluded-non-python,n/a,"Multi-language sample repo; python is ~1.6KB of the tree, not scanned"
Gymnasium,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
IoT-Owl,uv-pip,fixed,ok,"pyproject.toml + uv.lock (flask, numpy, pandas, requests) found generated locally but never pushed from a prior attempt; verified resolvable and pushed 2026-08-15"
Lasagne,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
LightGBM,none,none-needed,ok,no Python dependency manifest found in repo root
Metaworld,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
Neural,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
Neuraxle,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
NeuroNER,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
PCV,none,none-needed,ok,no Python dependency manifest found in repo root
Parris,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
Petrel,none,none-needed,ok,no Python dependency manifest found in repo root
PyStanfordDependencies,none,none-needed,ok,no Python dependency manifest found in repo root
PySyft,uv,none-needed,ok,uv.lock already present
PyTorchCV,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
Pyevolve,none,none-needed,ok,no Python dependency manifest found in repo root
SOMPY,none,none-needed,ok,no Python dependency manifest found in repo root
Sklearn-genetic-opt,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
Spearmint,none,none-needed,ok,no Python dependency manifest found in repo root
SynapseML,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
TResNet,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
ViZDoom,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
aim,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
alibi,none,none-needed,ok,no Python dependency manifest found in repo root
alibi-detect,none,none-needed,ok,no Python dependency manifest found in repo root
altair,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
annoy,none,none-needed,ok,no Python dependency manifest found in repo root
autogluon,uv,none-needed,ok,uv.lock already present
backprop,uv-pip,fixed,ok,"requirements.txt used version ranges only (e.g. transformers>=4.3.2,<4.5.0), so Dependabot couldn't resolve the currently-installed version for CVE-specific update runs; generated pyproject.toml + uv.lock (Python 3.10, since torchtext has no cp314 wheels) and pushed 2026-08-15"
bayeso,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
bentoml,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
bigartm,none,none-needed,ok,no Python dependency manifest found in repo root
