,rule.tags,rule.security_severity_level,rule.name,rule.description,counts
0,"['cwe-020', 'cwe-116', 'cwe-185', 'cwe-186']",high,py/bad-tag-filter,Bad HTML filtering regexp,3
1,['cwe-020'],high,py/incomplete-hostname-regexp,Incomplete regular expression for hostnames,1
2,['cwe-020'],high,py/incomplete-url-substring-sanitization,Incomplete URL substring sanitization,49
3,"['cwe-022', 'cwe-023', 'cwe-036', 'cwe-073', 'cwe-099']",high,py/path-injection,Uncontrolled data used in path expression,7057
4,"['cwe-079', 'cwe-116']",high,py/reflective-xss,Reflected server-side cross-site scripting,30
5,['cwe-089'],high,py/sql-injection,SQL query built from user-controlled sources,27
6,"['cwe-1333', 'cwe-400', 'cwe-730']",high,py/polynomial-redos,Polynomial regular expression used on uncontrolled data,289
7,"['cwe-1333', 'cwe-400', 'cwe-730']",high,py/redos,Inefficient regular expression,8
8,"['cwe-215', 'cwe-489']",high,py/flask-debug,Flask app is run in debug mode,6
9,['cwe-295'],high,py/paramiko-missing-host-key-validation,Accepting unknown SSH host keys when using Paramiko,1
10,"['cwe-312', 'cwe-315', 'cwe-359']",high,py/clear-text-storage-sensitive-data,Clear-text storage of sensitive information,12
11,"['cwe-312', 'cwe-359', 'cwe-532']",high,py/clear-text-logging-sensitive-data,Clear-text logging of sensitive information,59
12,"['cwe-327', 'cwe-328', 'cwe-916']",high,py/weak-sensitive-data-hashing,Use of a broken or weak cryptographic hashing algorithm on sensitive data,11
13,['cwe-327'],high,py/insecure-default-protocol,Default version of SSL/TLS may be insecure,3
14,['cwe-327'],high,py/insecure-protocol,Use of insecure SSL/TLS version,1
15,['cwe-377'],high,py/insecure-temporary-file,Insecure temporary file,19
16,"['cwe-400', 'cwe-730']",high,py/regex-injection,Regular expression injection,58
17,['cwe-943'],high,py/nosql-injection,NoSQL Injection,2
