,nature,type,id,description,cwe_counts,repos
0,CanFollow,base,73,External Control of File Name or Path,45,"['PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
1,CanFollow,base,184,Incomplete List of Disallowed Inputs,14,"['PyTorchCV', 'mindsdb', 'deepface', 'machine-learning', 'mlflow', 'cornac', 'pytorch']"
2,CanFollow,base,208,Observable Timing Discrepancy,24,"['mindsdb', 'ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit', 'mindsdb', 'ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit', 'mindsdb', 'ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit']"
3,CanFollow,base,410,Insufficient Resource Pool,35,"['ray', 'deeplake', 'catboost', 'litellm', 'langflow', 'open-webui', 'scikit-learn-intelex', 'numpy', 'transformers', 'DIGITS', 'danswerai', 'streamlit', 'gensim', 'ray', 'deeplake', 'catboost', 'litellm', 'langflow', 'open-webui', 'scikit-learn-intelex', 'numpy', 'transformers', 'DIGITS', 'danswerai', 'streamlit', 'gensim', 'ray', 'deeplake', 'catboost', 'litellm', 'langflow', 'open-webui', 'scikit-learn-intelex', 'numpy', 'transformers', 'DIGITS', 'danswerai', 'streamlit', 'gensim']"
4,CanFollow,base,489,Active Debug Code,8,"['mindsdb', 'evidently', 'caffe', 'xcessiv', 'bokeh', 'face_recognition', 'CompreFace']"
5,CanFollow,base,756,Missing Custom Error Page,78,"['mindsdb', 'ray', 'catboost', 'deepface', 'ColossalAI', 'litellm', 'open-webui', 'machine-learning', 'superset', 'evidently', 'pytorch', 'joliGEN', 'DIGITS', 'blaze', 'danswerai']"
6,CanFollow,base,1272,Sensitive Information Uncleared Before Debug/Power State Transition,59,"['pyss3', 'pytorch_geometric', 'gan', 'ray', 'catboost', 'ColossalAI', 'sinabs', 'bokeh', 'mlflow', 'feast', 'bentoml', 'LightGBM', 'detectron2', 'spaCy', 'determined', 'pytorch-lightning', 'pytorch', 'aim']"
7,CanFollow,class,20,Improper Input Validation,45,"['PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
8,CanFollow,class,172,Encoding Error,45,"['PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
9,CanFollow,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),3,"['open-webui', 'cornac']"
10,CanFollow,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),14,"['PyTorchCV', 'mindsdb', 'deepface', 'machine-learning', 'mlflow', 'cornac', 'pytorch']"
11,CanFollow,variant,498,Cloneable Class Containing Sensitive Information,59,"['pyss3', 'pytorch_geometric', 'gan', 'ray', 'catboost', 'ColossalAI', 'sinabs', 'bokeh', 'mlflow', 'feast', 'bentoml', 'LightGBM', 'detectron2', 'spaCy', 'determined', 'pytorch-lightning', 'pytorch', 'aim']"
12,CanFollow,variant,499,Serializable Class Containing Sensitive Data,59,"['pyss3', 'pytorch_geometric', 'gan', 'ray', 'catboost', 'ColossalAI', 'sinabs', 'bokeh', 'mlflow', 'feast', 'bentoml', 'LightGBM', 'detectron2', 'spaCy', 'determined', 'pytorch-lightning', 'pytorch', 'aim']"
13,CanFollow,variant,600,Uncaught Exception in Servlet,78,"['mindsdb', 'ray', 'catboost', 'deepface', 'ColossalAI', 'litellm', 'open-webui', 'machine-learning', 'superset', 'evidently', 'pytorch', 'joliGEN', 'DIGITS', 'blaze', 'danswerai']"
14,CanPrecede,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),162,"['spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai']"
