,type,id,description,cwe_counts,repos
0,base,15,External Control of System or Configuration Setting,117,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
1,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),432,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
2,base,23,Relative Path Traversal,135,"['mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN']"
3,base,36,Absolute Path Traversal,135,"['mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN']"
4,base,41,Improper Resolution of Path Equivalence,162,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
5,base,59,Improper Link Resolution Before File Access ('Link Following'),45,"['mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN']"
6,base,73,External Control of File Name or Path,162,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'mlflow', 'open-webui', 'litellm', 'danswerai', 'mindsdb', 'pytorch-lightning', 'deepface', 'PyTorchCV', 'DIGITS', 'streamlit', 'aim', 'xcessiv', 'joliGEN', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
7,base,94,Improper Control of Generation of Code ('Code Injection'),3,"['open-webui', 'cornac']"
8,base,96,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),3,"['open-webui', 'cornac']"
9,base,112,Missing XML Validation,117,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost', 'danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
